ISO3,p_intervention,n_intervention,p_legality,n_legality,p_util,n_util,p_gender,n_gender,p_social,n_social,p_age,n_age
BRA,0.5338205128205128,39000,0.2675695851551669,9377,0.36774842044801836,6964,0.18125752105896512,6648,0.38266482249884737,2169,0.34464590113125676,6453
BOL,0.5267899478425794,2109,0.3690248565965583,523,0.39896373056994816,386,0.2011173184357542,358,0.45045045045045046,111,0.36023054755043227,347
BLR,0.5542463986239519,23255,0.3622448979591837,5684,0.38174958736147135,4241,0.23982815264088955,3957,0.3927710843373494,1245,0.3783075713911449,3817
BIH,0.5324795842613215,5388,0.37057010785824346,1298,0.3983402489626556,964,0.22816593886462883,916,0.4232081911262799,293,0.3858267716535433,889
BHS,0.48443337484433374,803,0.34554973821989526,191,0.3776223776223776,143,0.2318840579710145,138,0.4358974358974359,39,0.39568345323741005,139
BHR,0.5387096774193548,930,0.36134453781512604,238,0.3869047619047619,168,0.20625,160,0.4418604651162791,43,0.3584905660377358,159
BGR,0.5373529179499329,25326,0.35103437041863494,6139,0.3906458797327394,4490,0.21553533939818054,4287,0.4268041237113402,1455,0.39817483189241115,4164
BGD,0.5252272015042306,3191,0.353584447144593,823,0.40069686411149824,574,0.22,550,0.43902439024390244,164,0.3602251407129456,533
BEL,0.5414615384615384,39000,0.27496242216018896,9314,0.38480045287291254,7066,0.1656840513983371,6615,0.3727615457115928,2122,0.33380127905163,6411
AZE,0.5536294691224268,3692,0.3356401384083045,867,0.3951367781155015,658,0.1978021978021978,637,0.43010752688172044,186,0.3832528180354267,621
AUT,0.5408205128205128,39000,0.2711087420042644,9380,0.3857265446224256,6992,0.18536953242835597,6630,0.3593033913840513,2182,0.3645412130637636,6430
AUS,0.5428205128205128,39000,0.257124491107778,9334,0.38072938839222364,7047,0.18093650553114107,6599,0.3755011135857461,2245,0.3552610821896198,6339
ARM,0.54296875,1536,0.3684210526315789,361,0.3873239436619718,284,0.21755725190839695,262,0.45454545454545453,88,0.388,250
ARG,0.5229230769230769,39000,0.339595849262698,9155,0.39242123190462674,7046,0.20376222723852522,6645,0.4243879020643303,2083,0.38180683413949135,6409
ARE,0.5337767842538574,18341,0.36078886310904873,4310,0.40139563106796117,3296,0.20822704081632654,3136,0.42348411934552455,1039,0.3828723758747084,3001
AND,0.65,200,0.3584905660377358,53,0.3,40,0.1875,32,0.2857142857142857,14,0.3235294117647059,34
ALB,0.5386247877758913,2356,0.31886792452830187,530,0.3914081145584726,419,0.19395465994962216,397,0.4098360655737705,122,0.37532133676092544,389
AGO,0.5557251908396946,655,0.35333333333333333,150,0.4016393442622951,122,0.25,112,0.4827586206896552,29,0.3942307692307692,104
AFG,0.6063348416289592,221,0.45,40,0.42105263157894735,38,0.21052631578947367,38,0.5833333333333334,12,0.3684210526315789,38
